,arch,lr,pos_batch_size,avg_auc
0,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.1,30,0.9998611069170188
1,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.1,50,0.9998485093891236
2,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.1,80,0.99985935302391
3,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.05,30,0.9999440279329592
4,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.05,50,0.9997304266291607
5,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.05,80,0.9999188328771685
6,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.01,30,0.999885425026255
7,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.01,50,0.9997591294711692
8,"[[68, 25, 'sigmoid'], [25, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.01,80,0.9997321805222696
9,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.1,30,0.9998719505518053
10,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.1,50,0.9998241912798875
11,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.1,80,0.999929676511955
12,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.05,30,0.9997743578387279
13,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.05,50,0.9999422740398503
14,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.05,80,0.9998016270637603
15,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.01,30,0.9998359118612283
16,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.01,50,0.9998359118612283
17,"[[68, 10, 'sigmoid'], [10, 5, 'sigmoid'], [5, 1, 'sigmoid']]",0.01,80,0.9999765588373183
18,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.1,30,0.9999062353492733
19,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.1,50,0.9999305534585095
20,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.1,80,0.9999088661889367
21,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.05,30,0.999839419647446
22,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.05,50,0.9997655883731833
23,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.05,80,0.9999062353492733
24,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.01,30,0.9999531176746366
25,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.01,50,0.9999062353492733
26,"[[68, 10, 'sigmoid'], [10, 1, 'sigmoid']]",0.01,80,0.9999062353492733
